RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,23,59095,Chris Gotterup,4.252,17.007,9.519,7.489,4
2,0,51680,Alistair Docherty,2.752,11.007,2.643,8.365,4
2,0,58168,Davis Thompson,2.752,11.007,9.863,1.145,4
4,20,32367,Jorge Campillo,2.502,10.007,3.925,6.083,4
4,0,29936,Ryan Fox,2.502,10.007,4.687,5.321,4
4,48,35461,Beau Hossler,2.502,10.007,3.530,6.478,4
4,37,46113,Ryan McCormick,2.502,10.007,4.895,5.113,4
4,0,40006,Erik van Rooyen,2.502,10.007,3.365,6.643,4
4,0,45242,Kevin Yu,2.502,10.007,6.832,3.176,4
10,0,34563,Chesson Hadley,2.252,9.007,.128,8.880,4
10,14,32757,Patton Kizzire,2.252,9.007,6.030,2.978,4
10,52,55893,Sam Stevens,2.252,9.007,4.555,4.453,4
13,0,52215,Robert MacIntyre,2.002,8.007,5.215,2.793,4
13,0,59143,Mac Meissner,2.002,8.007,5.632,2.376,4
13,0,51890,Greyson Sigg,2.002,8.007,8.990,-.982,4
16,-3,54591,Ben Griffin,1.752,7.007,2.523,4.485,4
16,0,33968,Thorbjørn Olesen,1.752,7.007,2.302,4.706,4
16,0,39327,Ben Silverman,1.752,7.007,2.002,5.006,4
16,14,54783,Dylan Wu,1.752,7.007,4.854,2.154,4
20,0,54576,Patrick Fishburn,1.502,6.007,8.583,-2.575,4
20,0,39975,Michael Kim,1.502,6.007,1.405,4.603,4
20,44,30163,Henrik Norlander,1.502,6.007,3.917,2.091,4
20,28,27139,David Skinns,1.502,6.007,4.437,1.571,4
20,-7,46340,Alex Smalley,1.502,6.007,4.248,1.760,4
20,-16,48887,Matt Wallace,1.502,6.007,2.762,3.246,4
26,0,34255,Joseph Bramlett,1.252,5.007,7.850,-2.842,4
26,0,66417,Blades Brown,1.252,5.007,4.202,.806,4
26,26,25818,Scott Piercy,1.252,5.007,7.960,-2.952,4
26,0,37275,Sam Ryder,1.252,5.007,5.410,-.402,4
26,0,46441,Robby Shelton,1.252,5.007,2.102,2.906,4
26,0,39324,J.J. Spaun,1.252,5.007,2.897,2.111,4
32,0,52514,Trace Crowe,1.002,4.007,2.008,2.000,4
32,27,29289,S.Y. Noh,1.002,4.007,2.351,1.657,4
32,0,26476,Chez Reavie,1.002,4.007,2.691,1.317,4
32,-2,52513,Carson Young,1.002,4.007,-1.495,5.503,4
36,-23,40026,Daniel Berger,0.752,3.007,3.322,-.314,4
36,0,59442,Parker Coody,0.752,3.007,.022,2.986,4
36,0,45523,Thriston Lawrence,0.752,3.007,1.972,1.036,4
36,0,27214,Kevin Streelman,0.752,3.007,3.442,-.434,4
40,-10,50497,Adrien Dumont de Chassart,0.502,2.007,-1.223,3.231,4
40,0,51977,Max Greyserman,0.502,2.007,.546,1.462,4
40,0,57975,Harry Hall,0.502,2.007,1.565,.443,4
40,0,34587,Chan Kim,0.502,2.007,7.481,-5.473,4
40,-31,32640,Troy Merritt,0.502,2.007,-2.088,4.096,4
40,0,33486,Roger Sloan,0.502,2.007,-2.370,4.378,4
46,0,47125,Matt Atkins,0.252,1.007,4.213,-3.205,4
46,0,60004,Jacob Bridgeman,0.252,1.007,-2.061,3.069,4
46,0,37338,Zecheng Dou,0.252,1.007,-1.762,2.770,4
46,0,47679,Victor Perez,0.252,1.007,1.029,-.021,4
50,0,33597,Harry Higgs,0.002,0.007,-.092,.100,4
50,-46,50188,S.H. Kim,0.002,0.007,1.873,-1.865,4
50,0,57900,Chandler Phillips,0.002,0.007,1.660,-1.652,4
50,0,50493,Justin Suh,0.002,0.007,-3.268,3.276,4
54,0,37212,Paul Barjon,-0.248,-0.993,-4.599,3.607,4
54,0,34310,Alexander Björk,-0.248,-0.993,-1.708,.716,4
54,0,59836,Pierceson Coody,-0.248,-0.993,-.428,-.564,4
54,0,36871,Matt NeSmith,-0.248,-0.993,-.386,-.606,4
54,-24,51997,Andrew Novak,-0.248,-0.993,3.236,-4.228,4
59,-7,55708,Hayden Buckley,-0.498,-1.993,-.904,-1.088,4
59,3,34076,Joel Dahmen,-0.498,-1.993,-6.994,5.002,4
61,0,24140,Sean O'Hair,-0.748,-2.993,-2.422,-.570,4
61,0,35617,Martin Trainer,-0.748,-2.993,-4.376,1.384,4
63,0,49303,Anders Albertson,-0.998,-3.993,-4.929,.937,4
63,0,31202,William McGirt,-0.998,-3.993,-5.946,1.954,4
63,0,38991,Alejandro Tosti,-0.998,-3.993,-2.142,-1.850,4
66,0,35310,Lanto Griffin,-1.248,-4.993,.532,-5.524,4
66,-36,47995,Davis Riley,-1.248,-4.993,-3.992,-1.000,4
68,0,55454,Carl Yuan,-1.498,-5.993,-.560,-5.432,4
69,0,51690,Taylor Dickson,-1.748,-6.993,-4.593,-2.399,4
70,0,50095,Austin Smotherman,-1.998,-7.993,-.416,-7.576,4
