RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46442,Maverick McNealy,3.516,10.548,6.859,3.689,3
2,0,49771,J.T. Poston,3.183,9.548,8.505,1.043,3
3,0,35506,Mackenzie Hughes,3.172,9.517,2.934,6.583,3
4,0,34076,Joel Dahmen,2.506,7.517,8.674,-1.157,3
4,0,54591,Ben Griffin,2.506,7.517,5.013,2.504,3
6,0,51349,Nico Echavarria,2.183,6.548,.973,5.575,3
7,0,47591,Eric Cole,2.172,6.517,1.909,4.608,3
7,0,25900,Lucas Glover,2.172,6.517,3.386,3.131,3
7,0,45242,Kevin Yu,2.172,6.517,3.261,3.256,3
10,0,40026,Daniel Berger,1.849,5.548,5.010,.538,3
10,0,39975,Michael Kim,1.849,5.548,1.556,3.992,3
10,0,35879,Kelly Kraft,1.849,5.548,1.123,4.425,3
10,0,51894,Vince Whaley,1.849,5.548,2.860,2.688,3
14,0,20229,Stewart Cink,1.839,5.517,5.189,.328,3
14,0,57900,Chandler Phillips,1.839,5.517,1.489,4.028,3
16,0,66743,Luke Clanton,1.516,4.548,1.688,2.860,3
16,0,49947,Taylor Moore,1.516,4.548,2.464,2.084,3
16,0,29289,S.Y. Noh,1.516,4.548,3.442,1.106,3
16,0,30163,Henrik Norlander,1.516,4.548,7.736,-3.188,3
16,0,36699,Patrick Rodgers,1.516,4.548,4.152,.396,3
21,0,57362,Austin Eckroat,1.506,4.517,3.728,.789,3
21,0,57364,Michael Thorbjornsen,1.506,4.517,2.672,1.845,3
23,0,34021,Bud Cauley,1.183,3.548,5.792,-2.244,3
23,0,50497,Adrien Dumont de Chassart,1.183,3.548,5.529,-1.981,3
23,0,56762,Will Gordon,1.183,3.548,2.649,.899,3
23,0,27644,Brian Harman,1.183,3.548,1.786,1.762,3
23,0,47993,Denny McCarthy,1.183,3.548,.492,3.056,3
23,0,50484,Hayden Springer,1.183,3.548,3.662,-.114,3
29,0,34255,Joseph Bramlett,0.849,2.548,1.751,.797,3
29,0,60067,Joe Highsmith,0.849,2.548,5.017,-2.469,3
29,0,55789,Taylor Montgomery,0.849,2.548,.262,2.286,3
29,0,52513,Carson Young,0.849,2.548,-1.476,4.024,3
33,0,24925,Jonathan Byrd,0.839,2.517,-1.679,4.196,3
34,0,54576,Patrick Fishburn,0.516,1.548,4.789,-3.241,3
34,0,51287,Ryo Hisatsune,0.516,1.548,-2.735,4.283,3
34,0,54628,Lee Hodges,0.516,1.548,2.974,-1.426,3
37,0,47347,Adam Schenk,0.506,1.517,1.004,.513,3
38,0,36801,Mark Hubbard,0.183,0.548,.512,.036,3
38,0,50188,S.H. Kim,0.183,0.548,-1.139,1.687,3
38,0,27936,Martin Laird,0.183,0.548,1.718,-1.170,3
38,0,46441,Robby Shelton,0.183,0.548,-2.872,3.420,3
38,0,50095,Austin Smotherman,0.183,0.548,-1.305,1.853,3
38,0,55893,Sam Stevens,0.183,0.548,3.748,-3.200,3
44,0,58816,Marcus Byrd,0.172,0.517,.135,.382,3
44,0,54421,Garrick Higgo,0.172,0.517,5.302,-4.785,3
44,0,54422,Christo Lamprecht,0.172,0.517,-3.733,4.250,3
44,0,35617,Martin Trainer,0.172,0.517,-4.816,5.333,3
48,0,52375,Doug Ghim,-0.151,-0.452,-1.616,1.164,3
48,0,58944,Blake McShea,-0.151,-0.452,-2.786,2.334,3
48,0,36824,Paul Peterson,-0.151,-0.452,-3.018,2.566,3
51,0,51997,Andrew Novak,-0.161,-0.483,-.665,.182,3
51,0,58168,Davis Thompson,-0.161,-0.483,2.929,-3.412,3
53,0,52955,Ludvig Åberg,-0.484,-1.452,-.838,-.614,3
53,0,40115,Adam Svensson,-0.484,-1.452,-2.886,1.434,3
55,0,32366,Kevin Chappell,-0.494,-1.483,4.076,-5.559,3
56,0,33122,Russell Knox,-0.817,-2.452,-1.185,-1.267,3
56,0,48699,Callum Tarren,-0.817,-2.452,-3.023,.571,3
56,0,32333,Kevin Tway,-0.817,-2.452,-.162,-2.290,3
56,0,52374,Brandon Wu,-0.817,-2.452,-.602,-1.850,3
60,0,32757,Patton Kizzire,-0.828,-2.483,1.294,-3.777,3
61,0,33399,Adam Hadwin,-1.151,-3.452,-1.153,-2.299,3
62,0,34099,Harris English,-1.161,-3.483,-1.063,-2.420,3
63,0,31202,William McGirt,-1.484,-4.452,.191,-4.643,3
63,0,48887,Matt Wallace,-1.484,-4.452,-1.293,-3.159,3
65,0,33408,Tyson Alexander,-1.817,-5.452,-6.074,.622,3
65,0,57123,Steven Fisk,-1.817,-5.452,-3.645,-1.807,3
67,0,35310,Lanto Griffin,-2.151,-6.452,-3.192,-3.260,3
68,0,47420,Jake Knapp,-2.484,-7.452,-6.202,-1.250,3
68,0,54813,Philip Knowles,-2.484,-7.452,-3.839,-3.613,3
